boughtlist
AA
AAPL
ABT
ACT
ADBE
ADM
ADSK
AEP
AES
AET
AGN
AIG
AIV
AKAM
ALTR
AMGN
AN
APC
APD
ARG
ATI
AVY
AZO
BA
BAC
BAX
BBY
BDX
BEAM
BEN
BK
BLK
BMY
BRCM
BSX
BXP
C
CA
CAH
CAM
CAT
CB
CBS
CCE
CCI
CERN
CHK
CI
CINF
CLF
CLX
CMA
CMCSA
CMS
CNP
CNX
COP
COST
CPB
CRM
CSC
CTAS
CTL
CTXS
CVC
CVS
CVX
D
DE
DGX
DHI
DLTR
DNB
DNR
DO
DOV
DOW
DRI
DTE
DUK
DVA
DVN
EA
EBAY
ECL
ED
EIX
EL
EMN
EOG
EQT
ESRX
ESV
ETFC
ETN
ETR
EXC
F
FAST
FCX
FDO
FE
FFIV
FITB
FLIR
FLR
FLS
FMC
FOSL
FSLR
FTR
GCI
GD
GIS
GLW
GME
GNW
GPC
GPS
GRMN
GS
GT
HAL
HAR
HAS
HBAN
HCN
HCP
HD
HES
HIG
HOG
HON
HOT
HP
HPQ
HRB
HRL
HRS
HSP
HST
HUM
IFF
IGT
INTC
IP
IPG
IR
IRM
ITW
IVZ
JBL
JCI
JEC
JNJ
JNPR
JOY
K
KEY
KIM
KLAC
KMB
KMX
KO
KR
KSS
KSU
L
LEG
LH
LLL
LLTC
LLY
LM
LMT
LNC
LOW
LRCX
LSI
LUK
LUV
M
MAC
MAR
MAS
MAT
MCHP
MCO
MDLZ
MDT
MHK
MMC
MMM
MS
MSFT
MSI
MU
MUR
MWV
MYL
NBL
NBR
NDAQ
NE
NEE
NEM
NFLX
NKE
NOV
NSC
NTRS
NU
NUE
NVDA
NWL
OI
OKE
ORCL
OXY
PBI
PCG
PCL
PCLN
PCP
PDCO
PEG
PETM
PFE
PFG
PG
PGR
PHM
PKI
PLD
PLL
PNC
PNR
PNW
POM
PPL
PSA
PVH
PWR
PX
PXD
QCOM
R
RAI
RDC
RF
RHI
RIG
RL
ROK
ROP
ROST
RRC
RTN
SBUX
SCG
SCHW
SEE
SHW
SIAL
SLM
SNA
SNDK
SNI
SO
SPG
SRCL
STI
STJ
STT
STX
SWK
SWN
SYK
SYMC
SYY
T
TE
TEG
TEL
TGT
THC
TIF
TMK
TMO
TROW
TRV
TSO
TWX
TXN
TXT
UNH
UNM
UNP
UPS
URBN
USB
UTX
VFC
VIAB
VLO
VRTX
VTR
VZ
WAG
WAT
WEC
WFC
WHR
WIN
WM
WMB
WMT
WU
WY
WYN
WYNN
X
XEL
XL
XLNX
XRX
YHOO
ZION
