11/4/94,SKT,21.13,417,1,2,2,4,R,83
11/4/94,VHI,7.75,311,1,1,2,1,D,92
11/4/94,XRIT,39.63,313,1,2,2,1,D,83
11/7/94,FRD,3.5,417,1,2,2,4,R,83
11/7/94,NQF,12.38,417,1,1,2,4,R,92
11/7/94,NCO,13.38,417,1,1,3,4,R,83
11/7/94,NQU,12.13,417,1,1,2,4,R,92
11/7/94,VHI,8,313,1,1,2,1,D,92
11/8/94,HEVV,7.63,311,1,2,1,1,D,92
11/8/94,BTUI,5.25,311,1,2,1,1,D,92
11/8/94,JCLY,7.88,417,1,1,2,4,R,92
11/8/94,NQF,12,417,1,1,2,4,R,92
11/8/94,NQU,12.25,417,1,1,3,4,R,83
11/8/94,NQS,12.13,417,1,1,1,4,R,100
11/8/94,STSA,10.38,415,1,1,3,4,R,83
11/8/94,VMO,11.88,415,1,1,3,4,R,83
11/9/94,NCP,12.88,415,1,1,3,4,R,83
11/9/94,CKP,20.88,313,1,2,1,1,D,92
11/9/94,NQS,12.38,417,1,2,2,4,R,83
11/9/94,CXE,6.38,417,1,1,3,4,R,83
11/9/94,DX,16.25,415,1,1,3,4,R,83
11/9/94,IMC,11.63,415,1,1,1,4,R,100
11/9/94,JCLY,8.13,417,1,1,3,4,R,83
11/9/94,KTF,10,415,1,1,1,4,R,100
11/10/94,CKP,21,313,1,2,1,1,D,92
11/10/94,APX,8,415,1,1,2,4,R,92
11/10/94,CLX,55.25,311,1,3,1,1,D,83
11/10/94,DX,15.75,417,1,1,3,4,R,83
11/10/94,IMC,12.13,417,1,1,3,4,R,83
11/10/94,IQT,11.63,415,1,1,3,4,R,83
11/10/94,MHF,7.75,417,1,1,3,4,R,83
11/10/94,MMU,10.25,417,1,1,3,4,R,83
11/10/94,PCF,8.75,415,1,1,2,4,R,92
11/11/94,DX,15.13,417,1,1,3,4,R,83
11/11/94,IQT,11.5,417,1,1,3,4,R,83
11/11/94,MMU,10,417,1,1,2,4,R,92
11/11/94,MYJ,10.5,417,1,1,2,4,R,92
11/11/94,PCF,8.75,417,1,1,1,4,R,100
11/11/94,SENEB,27,313,1,1,3,1,D,83
11/14/94,BPL,32.88,417,1,1,1,4,R,100
11/14/94,CLX,56.25,313,1,3,1,1,D,83
11/14/94,VTJ,11.88,417,1,1,3,4,R,83
11/14/94,KEY,26.38,417,1,1,3,4,R,83
