ABBV,851
ABBV,65.89
ABC,691,381,692,381
ABC,110.13
ABT,692,692
ABT,48.35
ACT,692,381,313,313,313,313,313,313,313,313,313,313,313,313,313,313
ACT,294.78
ADBE,692
ADBE,82.28
ADI,692
ADI,61.07
ADS,691
ADS,302.2
ADSK,692,851
ADSK,62.13
ADT,692
ADT,37.47
AEP,692,381
AEP,63.57
AET,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,391
AET,124.97
AGN,692,391
AGN,312.32
AIG,692,692
AIG,62.57
AIV,692,381
AIV,40.31
AKAM,692,381,692
AKAM,75.3
ALTR,391,381
ALTR,51.7
AMZN,391
AMZN,364.47
ANTM,692,381,692,381,692
ANTM,167.85
APC,851
APC,82.77
APD,391
APD,157.66
AVB,391
AVB,173.28
AVY,313,391
AVY,56.64
AZO,851,313,313,851,313,313,313,313,313,313,313
AZO,662.04
BA,331,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
BA,148.23
BAX,851
BAX,70.15
BBY,692
BBY,39.91
BCR,313,313,313,313,313,313,313,692
BCR,175.77
BEN,851
BEN,53.35
BIIB,692,381
BIIB,402
BK,851,321,851
BK,41.13
BLK,692
BLK,380.33
BLL,311,313,313,313,313,313,313,313,313,313,313
BLL,72.3
BMY,391
BMY,68.03
BRCM,692,381
BRCM,47.73
BSX,391,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
BSX,17.8
BWA,851
BWA,57.03
BXP,692,381
BXP,141.09
C,311,313,313,313,313,313,313,313,313,313,313
C,56.34
CA,692,381
CA,32.63
CAG,311,313,313,313,313,313,313,313,313,313,313,313,313,391,381
CAG,43.86
CB,692,381
CB,121.47
CBG,692,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
CBG,38.66
CBS,321
CBS,60.2
CELG,692
CELG,119.98
CERN,692,311,313,313,313,313,313,692
CERN,74.11
CFN,851
CFN,60.17
CI,692,381,391,692,381
CI,153.97
CLX,391
CLX,109.08
CMCSK,692,381
CMCSK,59.9
CME,313,313,313,313
CME,87.61
CMG,851
CMG,692.52
CMI,851
CMI,141.93
CMS,311,313,313,313,313,313,313,313
CMS,37.24
COF,851,321,851,692
COF,87.66
COG,851,331
COG,35.06
COL,691,851,311,313,313,313,313,313,313,313,313,313,313
COL,91.63
COST,692,391
COST,153.75
CPB,311,313,313,313,313,313,313,313,313,313,313,851,851
CPB,46.57
CSC,311,313,313
CSC,66.93
CTAS,321,692
CTAS,82.47
CTSH,692
CTSH,55.6
CTXS,851
CTXS,64.13
CVC,391,381
CVC,25.86
CVS,381
CVS,100.62
D,851
D,78.58
DE,692
DE,96.44
DHI,692
DHI,28.48
DIS,391,692
DIS,104.99
DLPH,692,381,692
DLPH,87.25
DLTR,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
DLTR,81.17
DNB,391,381
DNB,135.38
DOV,851
DOV,73.83
DOW,851
DOW,52.26
DPS,692,851
DPS,79.19
DRI,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,692,391,692,381
DRI,72.96
DTE,313,313,313,313,313,313,313,313,313,313,311,313,313,313,313,313,313,313,313,313,313,313,851
DTE,83.38
DTV,692
DTV,92.47
DUK,321,311,313,313,313,313,313,313,313,313,313,313
DUK,87
DVA,851,391,692
DVA,83.22
EA,391,391,692
EA,64.48
EBAY,311,313,313,313,313,313,313,313,391
EBAY,62.56
ED,391,381
ED,69.99
EFX,391
EFX,94.84
EIX,692
EIX,68.46
EL,391,692,391
EL,88.33
EMR,851,851
EMR,60.14
EQR,692,381,692
EQR,81.73
ESRX,313,313,692,692,692
ESRX,90.44
ETFC,692,311,313,313,313,313,313,313,313,313,313,313,313,313,313,692
ETFC,29.85
EW,321
EW,145.1
EXPD,391
EXPD,48.79
EXPE,391,692
EXPE,98.58
FB,311,313,313,313,313,313,313
FB,82.22
FCX,851
FCX,21.5
FE,851
FE,36.65
FIS,692,391
FIS,68.68
FISV,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,692,381
FISV,85.27
FLR,851
FLR,58.98
FMC,851,851
FMC,60.95
FTR,692,381
FTR,7.34
GAS,851
GAS,49.52
GE,851
GE,27.37
GGP,851
GGP,31
GHC,311,313,313,313,313,313,331
GHC,1079.63
GIS,391,381
GIS,56.6
GLW,313,313,313,313,313,313,313,391
GLW,24.73
GM,692
GM,38.87
GNW,851
GNW,7.99
GOOG,692
GOOG,555.48
GOOGL,851,321
GOOGL,575.02
GPC,313,313
GPC,105.84
GT,311,313,313
GT,30.38
HAR,391,391
HAR,142.43
HAS,391,692
HAS,78.34
HBAN,692,692
HBAN,11.52
HCBK,391
HCBK,10.31
HCN,692,381
HCN,79.74
HCP,311,313,313,313,313,313,311,313,313,313,313,313,313,313,313,313,313,313
HCP,46.81
HD,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,391
HD,116.75
HOG,851
HOG,65.07
HON,692,692
HON,106.44
HOT,692
HOT,84.91
HRB,692,851,851
HRB,31.96
HRS,692
HRS,80.71
HSP,692
HSP,87.64
HSY,311,313,313,313,313,313,313,313
HSY,107.68
HUM,391
HUM,214.92
ICE,391,692,381,692,692
ICE,242
IFF,391,391,381
IFF,120.1
INTU,692
INTU,104.16
IR,851
IR,68.59
IVZ,851
IVZ,40.59
JBL,313,313,313,313,313,313,313,313
JBL,21.13
JNJ,851
JNJ,103.42
JNPR,851,311,313,313,313,313,313,313,313,313
JNPR,26.98
JPM,851
JPM,61.14
K,692
K,69.84
KEY,692
KEY,15.65
KIM,391
KIM,26.6
KMB,692
KMB,118.98
KMX,313
KMX,66.47
KR,692,381,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313
KR,72.09
KRFT,311,313,313,313,313,313,313,313,313,313,391
KRFT,84.39
KSS,391,391,381
KSS,74.26
L,851
L,41.65
LB,692,381
LB,92.96
LH,692,381,692,381
LH,124.51
LIFE,391,692,381
LIFE,27.88
LLL,691
LLL,132.87
LLY,391,381
LLY,86.59
LMT,391
LMT,205.59
LNC,692,692,692,851
LNC,59.73
LO,692
LO,72.82
LOW,313,313,313
LOW,68.2
LUK,851
LUK,24
LUV,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
LUV,43.3
M,851,311,313
M,67.95
MA,692,381
MA,92.67
MAC,311,313,313,313,313,391
MAC,94.89
MAS,692,851
MAS,26.45
MCD,851
MCD,98.04
MCK,391,692,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
MCK,235.54
MCO,692
MCO,105.85
MET,851
MET,51.45
MHFI,692,381,381
MHFI,103.2
MHK,692,381,391
MHK,184.26
MKC,391
MKC,78.02
MNST,391
MNST,141.12
MOS,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
MOS,49.33
MPC,391,311,313
MPC,53.97
MRK,851
MRK,59.98
