split,6/6/86,APD,1.0,2.0
split,6/9/86,PH,2.0,3.0
split,6/18/86,NUE,2.0,3.0
split,6/26/86,MCD,2.0,3.0
split,7/1/86,KO,1.0,3.0
split,7/28/86,SNA,1.0,2.0
split,8/6/86,STT,1.0,2.0
split,8/12/86,ADM,100.0,105.0
split,8/15/86,HAS,1.0,2.0
split,9/16/86,HSY,1.0,3.0
split,10/1/86,KR,1.0,2.0
split,10/27/86,BEN,2.0,3.0
split,11/7/86,BK,2.0,3.0
split,11/10/86,GIS,1.0,2.0
split,11/14/86,PBI,1.0,2.0
split,11/18/86,AIG,1.0,2.0
split,11/21/86,BAC,1.0,2.0
split,12/2/86,CAG,1.0,2.0
split,1/2/87,JCI,1.0,2.0
split,1/6/87,GCI,1.0,2.0
split,1/16/87,JPM,1.0,2.0
split,2/3/87,AFL,1.0,2.0
split,2/23/87,BBY,2.0,3.0
split,3/13/87,C,1.0,2.0
split,3/13/87,PPG,1.0,2.0
split,3/30/87,ADSK,1.0,3.0
split,4/7/87,NSC,1.0,3.0
split,4/14/87,ROK,1.0,2.0
split,4/16/87,TSN,2.0,3.0
split,5/8/87,CA,1.0,2.0
split,5/11/87,AXP,1.0,2.0
split,5/20/87,IP,1.0,2.0
split,5/22/87,T,1.0,3.0
split,5/26/87,GE,1.0,2.0
split,5/26/87,KMB,1.0,2.0
split,5/28/87,GPC,2.0,3.0
split,5/29/87,TXT,1.0,2.0
split,6/2/87,CLX,1.0,2.0
split,6/10/87,BMY,1.0,2.0
split,6/10/87,DNB,1.0,2.0
split,6/11/87,NEM,1.0,2.0
split,6/15/87,TXN,1.0,3.0
split,6/16/87,AAPL,1.0,2.0
split,6/16/87,MMM,1.0,2.0
split,6/17/87,PVH,2.0,5.0
split,6/23/87,MCD,2.0,3.0
split,7/13/87,IR,2.0,5.0
split,7/27/87,PEG,2.0,3.0
split,8/11/87,ADM,100.0,105.0
split,8/17/87,TE,1.0,2.0
split,9/11/87,EMR,1.0,3.0
split,9/15/87,XOM,1.0,2.0
split,9/21/87,MSFT,1.0,2.0
split,9/22/87,HD,2.0,3.0
split,10/2/87,HRB,1.0,2.0
split,10/9/87,NEM,2.0,3.0
split,10/29/87,INTC,2.0,3.0
split,11/20/87,AME,1.0,2.0
split,12/23/87,CPB,1.0,2.0
split,1/13/88,F,1.0,2.0
split,4/4/88,BMS,1.0,2.0
split,5/26/88,MRK,1.0,3.0
split,8/1/88,PCAR,1.0,2.0
split,8/2/88,CTL,2.0,3.0
split,8/16/88,ADM,100.0,105.0
split,9/9/88,CAH,10.0,11.0
