date,stock,close,kno,w,h,e,n,rd,pct
03/16/2005,FITB,42.89,415,1,3,0,4,R,60
03/18/2005,F,11.39,415,1,2,1,4,R,92
04/13/2005,F,10.05,415,1,1,2,4,R,92
04/15/2005,ADI,32.84,415,1,3,3,4,R,67
04/15/2005,FAST,51.13,415,1,2,1,4,R,92
04/18/2005,VZ,34.00,415,1,5,4,4,R,57
05/12/2005,TYC,28.53,415,3,1,0,4,R,60
05/13/2005,AA,26.70,415,1,2,2,4,R,83
05/20/2005,GCI,74.97,415,1,3,4,6,R,63
05/26/2005,TAP,58.09,415,4,1,0,4,R,56
06/09/2005,MKC,32.73,415,1,3,4,4,R,63
09/16/2005,PETM,22.66,415,1,2,5,4,R,68
09/16/2005,WMT,43.87,415,4,1,3,6,R,63
09/19/2005,IPG,11.05,415,3,3,3,4,R,50
09/20/2005,LEG,19.80,415,1,1,3,4,R,83
09/21/2005,EMN,44.70,415,1,2,3,4,R,75
09/22/2005,DIS,23.23,415,1,2,4,4,R,72
09/22/2005,PBI,41.49,415,1,3,5,4,R,60
09/23/2005,AA,24.42,415,1,2,3,4,R,75
09/28/2005,BAC,41.60,415,1,3,4,6,R,63
10/05/2005,BMY,23.17,415,1,2,3,4,R,75
10/06/2005,GPS,16.91,415,4,1,4,4,R,60
10/07/2005,LEG,19.30,415,2,1,5,4,R,68
10/07/2005,T,22.75,415,1,2,3,4,R,75
10/07/2005,VZ,30.59,415,1,2,2,4,R,83
10/11/2005,BMY,22.56,415,1,1,3,6,R,83
10/13/2005,KMB,56.91,415,1,1,3,4,R,83
10/13/2005,T,22.25,415,1,1,3,6,R,83
10/18/2005,FTR,12.23,415,2,1,5,6,R,68
10/19/2005,MDLZ,28.39,415,1,1,2,4,R,92
10/21/2005,BMY,21.45,415,1,1,3,4,R,83
10/21/2005,HON,33.21,415,1,1,3,4,R,83
10/21/2005,PFE,21.25,415,1,1,3,4,R,83
10/21/2005,STX,14.27,415,1,3,5,4,R,60
10/24/2005,VFC,51.80,415,1,1,1,4,R,100
10/25/2005,THC,8.29,415,1,1,1,4,R,100
10/27/2005,FOSL,15.19,415,4,2,2,4,R,63
10/27/2005,IFF,32.24,415,1,2,3,4,R,75
10/27/2005,KSS,43.81,415,1,2,2,4,R,83
11/04/2005,SYY,30.04,415,1,3,1,4,R,83
11/07/2005,THC,7.48,415,1,1,2,4,R,92
11/08/2005,CMCSA,26.36,415,1,2,3,4,R,75
11/15/2005,DTV,13.69,415,2,3,3,4,R,58
11/15/2005,IPG,9.75,415,1,2,4,4,R,72
03/06/2006,PNW,39.16,415,1,2,1,4,R,92
03/28/2006,TEG,49.33,415,2,2,4,4,R,63
04/18/2006,MDT,49.29,415,1,2,4,4,R,72
04/25/2006,EBAY,34.49,415,2,3,0,4,R,50
05/05/2006,UNH,46.39,415,2,1,3,4,R,75
05/23/2006,UNH,42.82,415,1,1,5,4,R,77
