TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER
ADD,7/23/02,SEE,31.33,0.5,1649.526607900751,51679.668625530525,x
SUB,3/15/13,SEE,24.27,1.0,4120.313143798929,100000.0,x
SUB,10/16/96,SHW,52.25,2.0,3827.751196172249,200000.0,x
ADD,8/31/98,SHW,23.88,1.0,3827.751196172249,91406.6985645933,x
SUB,12/6/00,SIAL,40.25,0.5,1242.2360248447205,50000.0,x
SUB,2/16/07,SIAL,41.62,2.0,3604.036520903412,150000.0,x
ADD,10/23/08,SIAL,36.97,0.5,1522.1271426482133,56273.04046370444,x
ADD,10/27/08,SIAL,35.3,0.5,1522.127142648213,53731.088135481914,x
SUB,8/18/08,SJM,56.36,2.0,3548.6160397444996,200000.0,x
SUB,4/4/96,SLB,84.75,0.5,589.9705014749262,50000.0,x
SUB,1/27/04,SLB,62.0,2.0,2419.3548387096776,150000.0,x
SUB,2/8/96,SLM,78.25,0.5,638.9776357827476,50000.0,x
ADD,2/10/00,SLM,33.44,0.5,2236.4217252396165,74785.94249201278,x
SUB,12/5/00,SLM,62.75,0.5,796.8127490039841,50000.0,x
SUB,11/14/96,SNA,34.25,0.5,1459.85401459854,50000.0,x
SUB,11/15/96,SNA,35.0,1.0,1428.5714285714287,50000.0,x
ADD,1/17/08,SNA,40.02,0.5,1444.2127215849844,57797.39311783108,x
ADD,1/18/08,SNA,39.78,0.5,1444.2127215849844,57450.78206465068,x
SUB,3/2/00,SNDK,104.88,2.0,1906.9412662090008,200000.0,x
SUB,8/8/00,SO,27.88,0.5,1793.400286944046,50000.0,x
SUB,9/6/00,SO,31.19,2.0,4809.233728759217,150000.0,x
ADD,2/17/09,SO,30.41,0.5,2702.0109738513925,82168.15371482084,x
SUB,10/23/96,SPG,26.88,0.5,1860.1190476190477,50000.0,x
SUB,12/9/96,SPG,29.75,2.0,5042.016806722689,150000.0,x
ADD,1/4/08,SPG,79.56,1.0,3451.067927170868,274566.96428571426,x
ADD,11/20/08,SPG,38.65,0.5,1725.533963585434,66691.88769257703,x
ADD,11/21/08,SPG,38.38,0.5,1725.533963585434,66225.99352240897,x
SUB,4/10/02,SPLS,22.14,0.5,2258.355916892502,50000.0,x
SUB,12/11/14,SPLS,16.1,1.0,3105.5900621118008,50000.0,x
SUB,12/15/14,SPLS,16.86,2.0,5931.198102016608,100000.0,x
SUB,11/1/00,SRCL,34.25,2.0,5839.41605839416,200000.0,x
ADD,10/9/08,SRCL,48.83,1.0,11678.83211678832,570277.3722627737,x
ADD,10/10/08,SRCL,49.22,0.5,5839.41605839416,287416.0583941606,x
SUB,1/23/04,SRE,31.95,1.0,3129.8904538341158,100000.0,x
SUB,7/16/08,STJ,47.12,2.0,4244.4821731748725,200000.0,x
ADD,11/20/08,STJ,25.48,0.5,1061.1205432937181,27037.35144312394,x
SUB,2/11/97,STT,78.25,1.0,1277.9552715654952,100000.0,x
SUB,1/23/13,STT,55.33,2.0,1807.3377914332189,100000.0,x
SUB,7/16/97,STZ,39.38,1.0,2539.3600812595223,100000.0,x
SUB,4/19/96,SWN,14.25,2.0,14035.087719298246,200000.0,x
ADD,8/26/98,SWN,7.44,0.5,3508.7719298245615,26105.26315789474,x
ADD,8/27/98,SWN,7.19,0.5,3508.7719298245615,25228.0701754386,x
