date,stock,close,kno,w,h,e,n,rd,pct
03/18/2005,FITB,42.37,417,2,3,5,4,R,52
03/21/2005,F,11.51,417,2,2,1,4,R,83
03/22/2005,F,11.17,417,1,1,1,4,R,100
03/29/2005,FITB,42.38,417,0,3,0,6,R,33
04/01/2005,FITB,42.85,417,0,4,0,6,R,27
04/04/2005,FITB,42.48,417,0,3,0,6,R,33
04/14/2005,F,9.75,417,1,1,1,4,R,100
04/15/2005,F,9.50,417,1,1,1,4,R,100
04/18/2005,F,9.34,417,1,1,3,4,R,83
04/18/2005,FAST,52.80,417,2,3,1,6,R,75
04/19/2005,ADI,33.85,417,0,4,0,6,R,27
04/19/2005,F,9.28,417,1,1,3,4,R,83
04/19/2005,FAST,52.51,417,0,3,1,6,R,60
04/20/2005,F,9.34,417,2,1,4,4,R,72
04/20/2005,FAST,52.40,417,0,3,1,6,R,60
04/26/2005,ADI,33.52,417,0,4,0,6,R,27
04/26/2005,VZ,34.00,417,0,5,0,6,R,20
04/27/2005,ADI,33.36,417,0,4,0,6,R,27
05/16/2005,AA,26.60,417,1,2,1,4,R,92
05/25/2005,AA,27.16,417,0,3,0,6,R,33
05/31/2005,AA,27.10,417,0,3,0,6,R,33
05/31/2005,TAP,58.47,417,0,1,0,6,R,67
06/02/2005,TAP,58.90,417,0,1,0,6,R,67
06/03/2005,TAP,58.88,417,0,1,0,6,R,67
06/07/2005,TAP,58.65,417,0,2,0,6,R,50
06/08/2005,TAP,58.64,417,0,2,0,6,R,50
06/15/2005,GCI,73.91,417,0,3,0,0,R,33
06/15/2005,TAP,58.86,417,0,3,0,6,R,33
06/17/2005,TAP,58.83,417,0,3,0,6,R,33
09/19/2005,WMT,44.01,417,2,1,3,4,R,75
09/20/2005,WMT,43.21,417,1,1,3,4,R,83
09/21/2005,LEG,19.95,417,1,1,3,4,R,83
09/23/2005,DIS,23.22,417,2,2,3,4,R,67
09/23/2005,EMN,47.18,417,0,4,0,6,R,27
09/26/2005,AA,24.20,417,1,2,2,4,R,83
09/27/2005,AA,24.01,417,2,2,2,4,R,75
09/28/2005,AA,24.07,417,2,2,2,4,R,75
09/30/2005,LEG,20.20,417,0,1,0,6,R,67
10/03/2005,LEG,20.20,417,0,1,0,6,R,67
10/04/2005,AA,23.36,417,1,1,0,4,R,80
10/04/2005,LEG,20.15,417,0,1,0,6,R,67
10/05/2005,AA,22.95,417,1,1,5,6,R,77
10/05/2005,KMB,58.26,417,1,2,3,4,R,75
10/05/2005,LEG,19.51,417,4,1,5,4,R,57
10/06/2005,AA,22.91,417,1,1,3,4,R,83
10/06/2005,BMY,23.18,417,1,2,3,6,R,75
10/07/2005,GPS,16.73,417,0,1,4,6,R,56
10/10/2005,AA,22.66,417,2,1,4,4,R,72
10/10/2005,GPS,16.51,417,4,1,4,4,R,60
10/10/2005,LEG,19.19,417,2,1,4,4,R,72
10/10/2005,T,22.76,417,1,2,3,4,R,75
10/10/2005,VZ,30.29,417,1,2,2,4,R,83
10/11/2005,AA,22.85,417,0,1,0,4,R,67
10/11/2005,GPS,16.25,417,1,1,3,4,R,83
10/11/2005,LEG,18.91,417,1,1,3,4,R,83
10/11/2005,VZ,29.94,417,1,1,2,4,R,92
10/12/2005,BMY,22.52,417,1,1,4,4,R,80
10/12/2005,GPS,16.18,417,1,1,4,4,R,80
10/12/2005,LEG,18.77,417,1,1,3,4,R,83
10/12/2005,VZ,29.83,417,1,1,3,4,R,83
10/13/2005,BMY,22.45,417,2,1,3,6,R,75
10/13/2005,GPS,16.09,417,2,1,4,4,R,72
10/13/2005,LEG,18.55,417,1,1,3,4,R,83
10/13/2005,VZ,29.80,417,2,1,3,4,R,75
10/14/2005,BMY,22.31,417,2,1,4,6,R,72
10/14/2005,T,22.20,417,2,1,3,6,R,75
10/17/2005,KMB,56.87,417,2,1,3,4,R,75
10/17/2005,T,22.20,417,2,1,4,6,R,72
10/18/2005,T,22.10,417,0,1,4,6,R,56
10/19/2005,FTR,12.24,417,2,1,0,4,R,70
10/19/2005,T,22.41,417,0,2,0,6,R,50
10/20/2005,FTR,12.09,417,1,1,0,4,R,80
10/20/2005,MDLZ,28.44,417,1,2,2,4,R,83
10/21/2005,GPS,16.34,417,0,2,0,6,R,50
