PVH,106.13
PWR,29.72
PX,122.05
PXD,155.25
QCOM,69.735
R,94.36
RAI,75.21
RDC,23.55
REGN,516.48
RF,10.235
RHI,56.61
RHT,79.01
RIG,20.23
RL,133.29
ROK,125.52
ROP,177.54
ROST,97.069
RRC,58.7933
RSG,40.675
RTN,106.8741
SBUX,51.57
SCG,53.31
SCHW,31.4999
SE,36.145
SEE,49.46
SHW,286.95
SIAL,139.09
SJM,120.49
SLB,92.23
SLM,10.41
SNA,157.61
SNDK,67.23
SNI,68.63
SO,43.275
SPG,183.99
SPLS,16.205
SRCL,138.56
SRE,107.75
STI,42.98
STJ,74.45
STT,78.785
STX,55.92
STZ,118.655
SWK,103.80
SWN,27.19
SWY,N/A
SYK,96.495
SYMC,24.925
SYY,37.7403
T,34.765
TAP,74.365
TDC,39.63
TE,19.12
TEG,73.29
TEL,70.10
TGT,79.39
THC,52.04
TIF,87.21
TJX,67.28
TMK,57.825
TMO,132.55
TROW,81.74
TRV,102.91
TSN,42.94
TSO,90.09
TSS,41.61
TWC,171.11
TWX,85.56
TXN,55.495
TXT,46.4899
TYC,41.02
UNH,119.945
UNM,35.01
UNP,104.535
UPS,101.69
URBN,34.94
USB,43.675
UTX,119.01
V,69.82
VAR,87.67
VFC,71.37
VIAB,67.02
VLO,61.1101
VMC,91.78
VNO,102.37
VRSN,64.71
VRTX,125.43
VTR,68.39
VZ,49.69
WAG,N/A
WAT,133.49
WDC,95.63
WEC,48.406
WFC,56.1965
WFM,42.315
WHR,192.39
WIN,8.322
WM,50.18
WMB,53.10
WMT,75.97
WU,22.665
WY,32.78
WYN,87.04
WYNN,106.70
X,25.16
XEL,34.48
XL,37.81
XLNX,47.04
XOM,86.735
XRX,11.45
XYL,37.00
YHOO,43.5699
YUM,91.41
ZION,29.045
ZMH,113.80
