A,41.72
AA,12.96
AAPL,126.37
ABBV,58.24
ABC,113.49
ABT,47.08
ACE,112.21
ACN,94.42
ACT,304.76
ADBE,73.60
ADI,64.81
ADM,47.42
ADP,85.89
ADS,300.00
ADSK,59.30
ADT,41.64
AEE,42.08
AEP,56.58
AES,12.74
AET,108.57
AFL,64.20
AIG,54.68
AIV,39.87
AIZ,61.61
AKAM,71.90
ALL,70.95
ALLE,61.91
ALTR,42.82
ALXN,180.26
AMAT,22.77
AME,52.97
AMGN,164.31
AMP,131.02
AMT,96.16
AMZN,374.59
AN,64.45
ANTM,156.85
AON,98.10
APA,60.83
APC,83.85
APD,153.80
APH,58.77
ARG,107.17
ATI,30.83
AVB,176.15
AVP,7.90
AVY,53.66
AXP,78.05
AZO,689.38
BA,152.70
BAC,15.52
BAX,68.76
BBBY,76.43
BBT,39.05
BBY,38.75
BCR,169.37
BDX,145.64
BEN,51.77
BHI,63.48
BIIB,431.62
BK,40.29
BLK,368.10
BLL,70.90
BMS,46.67
BMY,65.76
BRCM,44.12
BSX,18.07
BTU,5.34
BWA,61.10
BXP,142.25
C,51.64
CA,32.71
CAG,36.90
CAH,90.80
CAM,45.81
CAT,81.37
CB,101.84
CBG,36.41
CBS,61.87
CCE,44.71
CCI,84.39
CELG,120.02
CERN,74.11
CF,290.98
CHK,13.97
CHRW,73.20
CI,129.96
CINF,53.63
CL,69.29
CLF,5.06
CLX,110.76
CMA,45.41
CMCSA,56.61
CMCSK,56.24
CME,95.29
CMG,655.36
CMI,140.14
CMS,34.64
CNP,20.63
CNX,27.93
COF,79.20
COG,29.24
COH,41.59
COL,96.99
COP,64.00
COST,152.37
CPB,46.45
CRM,66.85
CSC,66.45
CSCO,27.65
CSX,33.35
CTAS,82.74
CTL,34.06
CTSH,63.34
CTXS,64.02
CVC,18.48
CVS,103.83
CVX,106.90
D,71.14
DAL,45.56
DD,72.58
DE,88.61
DFS,56.79
DG,74.92
DGX,77.69
DHI,28.01
DHR,85.60
DIS,106.12
DISCA,31.09
DLPH,79.21
DLTR,81.81
DNB,129.18
DNR,7.64
DO,26.69
DOV,70.50
DOW,48.68
DPS,79.67
DRI,69.42
DTE,80.73
DTV,85.81
DUK,75.90
DVA,82.17
DVN,60.71
EA,59.47
EBAY,57.93
ECL,114.79
ED,60.79
EFX,93.33
EIX,63.04
EL,84.07
EMC,25.52
EMN,70.40
EMR,56.59
EOG,92.14
EQR,78.90
EQT,82.70
ES,50.64
ESRX,85.41
ESV,21.12
ETFC,28.24
ETN,67.82
ETR,77.31
EW,144.14
EXC,33.57
EXPD,48.44
EXPE,94.19
F,16.16
FAST,41.80
FB,83.20
FCX,19.38
FDO,79.43
FDX,166.75
FE,35.51
FFIV,115.26
FIS,68.28
FISV,79.73
FITB,19.06
FLIR,31.57
FLR,57.89
FLS,57.44
FMC,57.80
FOSL,82.17
FOX,33.15
FOXA,34.26
FSLR,60.69
FTI,37.54
FTR,7.32
GAS,49.60
GCI,36.64
GD,137.51
GE,25.12
GGP,29.98
GHC,1040.00
GILD,100.69
GIS,56.35
GLW,23.24
GM,37.68
GME,37.69
GNW,7.34
GOOG,552.03
GOOGL,561.14
GPC,93.86
GPS,43.13
GRMN,48.13
GS,191.02
GT,26.79
GWW,237.49
HAL,43.82
HAR,136.44
HAS,62.57
HBAN,11.01
HCBK,10.47
HCN,78.71
HCP,43.81
HD,114.63
HES,68.56
HIG,42.37
HOG,60.75
HON,104.91
HOT,84.33
HP,68.73
HPQ,31.57
HRB,31.71
HRL,57.36
HRS,77.63
HSP,87.72
HST,20.35
HSY,102.43
HUM,181.18
IBM,162.67
ICE,234.98
IFF,118.50
IGT,17.73
INTC,31.46
INTU,98.23
IP,55.21
IPG,22.10
IR,68.45
IRM,36.75
ISRG,506.16
ITW,97.89
IVZ,40.00
JBL,23.49
JCI,49.83
JEC,44.96
JNJ,101.55
JNPR,22.53
JOY,39.80
JPM,60.96
JWN,80.02
K,65.50
KEY,14.20
KIM,27.03
KLAC,59.41
KMB,107.74
KMI,42.07
KMX,69.22
KO,40.51
KORS,66.26
KR,77.24
KRFT,90.61
KSS,76.62
KSU,103.31
L,40.76
LB,94.20
LEG,45.99
LEN,51.49
LH,127.28
LLL,126.69
LLTC,47.59
LLY,73.87
LM,55.98
LMT,204.89
LNC,57.54
LO,66.42
LOW,74.80
LRCX,72.19
LUK,22.34
LUV,44.58
LYB,87.77
M,64.44
MA,87.67
MAC,86.34
MAR,81.50
MAS,26.45
MAT,22.65
MCD,97.88
MCHP,49.89
MCK,229.14
MCO,104.12
MDLZ,36.50
MDT,78.42
MET,50.93
MHFI,105.31
MHK,184.72
MJN,101.54
MKC,78.02
MMC,56.55
MMM,166.05
MNST,140.44
MO,50.53
MON,113.38
MOS,47.36
MPC,102.90
MRK,58.34
MRO,26.43
MS,36.31
MSFT,40.96
MSI,66.39
MTB,126.88
MU,26.68
MUR,47.67
MWV,50.52
MYL,60.00
NBL,49.05
NBR,13.64
NDAQ,50.70
NE,14.19
NEE,104.74
NEM,22.02
NFLX,422.57
NFX,35.18
NI,44.18
NKE,100.89
NLSN,44.79
NOC,162.68
NOV,49.84
NRG,24.92
NSC,104.00
NTAP,35.38
NTRS,69.93
NUE,47.33
NVDA,21.47
NWL,39.47
NWS,16.04
OI,23.52
OKE,48.04
OMC,78.04
ORCL,43.44
ORLY,219.38
OXY,73.98
PAYX,50.01
PBCT,15.27
PBI,23.77
PCAR,63.45
PCG,52.95
PCL,43.84
PCLN,1149.83
PCP,211.58
PDCO,49.10
