date,stock,close,kno,w,h,e,n,rd,pct
03/30/2015,A,41.72,553,0,6,3,8,R,70
03/30/2015,AA,12.96,757,0,3,0,3,R,33
03/30/2015,AAPL,126.37,553,0,7,5,5,R,79
03/30/2015,ABBV,58.24,408,0,7,0,7,R,15
03/30/2015,ABC,113.49,383,0,2,5,1,D,42
03/30/2015,ABT,47.08,664,0,6,0,2,D,17
03/30/2015,ACE,112.21,567,0,9,0,9,R,12
03/30/2015,ACN,94.42,654,2,3,0,1,D,50
03/30/2015,ACT,304.76,313,0,5,2,5,D,42
03/30/2015,ADBE,73.60,557,0,7,3,9,R,29
03/30/2015,ADI,64.81,852,1,2,0,1,D,70
03/30/2015,ADM,47.42,664,0,9,5,7,D,19
03/30/2015,ADP,85.89,138,0,8,5,2,R,20
03/30/2015,ADS,300.00,654,0,5,5,2,D,24
03/30/2015,ADSK,59.30,698,0,9,5,9,D,81
03/30/2015,ADT,41.64,854,0,3,0,1,D,33
03/30/2015,AEE,42.08,567,0,6,5,9,R,22
03/30/2015,AEP,56.58,557,0,5,5,9,R,24
03/30/2015,AES,12.74,554,0,6,0,7,R,83
03/30/2015,AET,108.57,313,0,3,5,1,D,32
03/30/2015,AFL,64.20,664,0,3,0,1,D,33
03/30/2015,AIG,54.68,554,0,7,0,9,R,85
03/30/2015,AIV,39.87,654,0,7,0,5,D,15
03/30/2015,AIZ,61.61,658,0,7,0,7,D,85
03/30/2015,AKAM,71.90,684,0,4,5,1,D,28
03/30/2015,ALL,70.95,554,0,9,0,2,R,88
03/30/2015,ALLE,61.91,662,0,3,0,1,D,33
03/30/2015,ALTR,42.82,552,1,1,0,5,R,20
03/30/2015,ALXN,180.26,557,0,9,3,9,R,27
03/30/2015,AMAT,22.77,567,0,5,3,7,R,32
03/30/2015,AME,52.97,553,0,6,4,9,R,74
03/30/2015,AMGN,164.31,363,0,6,4,5,D,26
03/30/2015,AMP,131.02,557,0,7,0,9,R,15
03/30/2015,AMT,96.16,567,0,8,0,7,R,13
03/30/2015,AMZN,374.59,564,0,7,0,8,R,85
03/30/2015,AN,64.45,753,0,6,3,2,R,70
03/30/2015,ANTM,156.85,383,0,3,0,1,D,33
03/30/2015,AON,98.10,554,0,8,0,2,R,87
03/30/2015,APA,60.83,757,0,7,0,0,R,15
03/30/2015,APC,83.85,553,0,8,0,7,R,87
03/30/2015,APD,153.80,853,0,7,5,5,D,21
03/30/2015,APH,58.77,563,0,5,3,2,R,68
03/30/2015,ARG,107.17,448,0,3,0,7,R,33
03/30/2015,ATI,30.83,567,0,9,0,0,R,12
03/30/2015,AVB,176.15,684,0,7,5,5,D,21
03/30/2015,AVP,7.90,658,0,7,0,0,D,85
03/30/2015,AVY,53.66,664,0,7,5,2,D,21
03/30/2015,AXP,78.05,557,0,5,4,6,R,28
03/30/2015,AZO,689.38,341,1,2,4,1,D,72
03/30/2015,BA,152.70,564,0,6,0,2,R,83
03/30/2015,BAC,15.52,757,0,6,0,7,R,17
03/30/2015,BAX,68.76,668,0,8,0,7,D,87
03/30/2015,BBBY,76.43,754,0,8,0,2,R,87
03/30/2015,BBT,39.05,363,0,5,0,2,D,20
03/30/2015,BBY,38.75,673,0,8,3,2,R,72
03/30/2015,BCR,169.37,777,0,7,0,9,D,85
03/30/2015,BDX,145.64,553,0,7,5,5,R,79
03/30/2015,BEN,51.77,858,0,6,0,7,D,83
03/30/2015,BHI,63.48,564,0,7,0,8,R,85
03/30/2015,BIIB,431.62,854,0,5,3,2,D,32
03/30/2015,BK,40.29,323,0,6,0,2,D,17
03/30/2015,BLK,368.10,554,0,8,0,8,R,87
03/30/2015,BLL,70.90,754,0,7,0,8,R,85
03/30/2015,BMS,46.67,567,0,9,0,8,R,12
03/30/2015,BMY,65.76,674,0,5,3,1,R,68
03/30/2015,BRCM,44.12,554,0,9,5,9,R,81
03/30/2015,BSX,18.07,313,0,2,0,1,D,50
03/30/2015,BTU,5.34,567,0,3,3,6,R,40
03/30/2015,BWA,61.10,664,0,6,3,8,D,30
03/30/2015,BXP,142.25,684,0,7,5,5,D,21
03/30/2015,C,51.64,564,0,7,0,8,R,85
03/30/2015,CA,32.71,654,0,6,4,5,D,26
