Stock
WDC
INTU
THC
STT
KEY
AVP
ADM
COP
MRO
CLX
HON
KIM
R
ESV
VFC
WAG
TGT
SCHW
ABT
PGR
SWY
EFX
BAX
MTB
TWX
GIS
JNJ
PG
PSA
XRX
HOT
MRK
CAG
MO
SYK
LRCX
LB
INTC
TXN
ETN
EOG
OXY
BHI
CHK
RIG
ROK
PEP
ROP
LM
DE
GT
FAST
AMAT
CELG
BK
CMA
AIV
PETM
APA
MCHP
CMCSA
BSX
K
MSFT
DOV
TMO
MU
AAPL
APD
EMR
IR
PPG
XLNX
GILD
FMC
FDO
CSC
GD
FLS
JBL
TSO
HCN
FDX
QCOM
HAL
ADP
UNP
RHI
XL
CB
T
CCE
POM
TRV
TE
AON
NI
BMY
TEG
ZION
FOSL
SEE
GCI
TAP
HUM
NTRS
HBAN
BDX
RDC
XOM
CERN
CVX
BEAM
BIIB
NE
TSS
PNC
NEM
ADBE
KLAC
HRB
WEC
UTX
AVY
ALTR
DUK
AGN
DOW
SLM
LLY
BMS
ITW
TJX
FITB
COST
SBUX
PDCO
OMC
SLB
CVS
EXC
SWN
VLO
CVC
MNST
URBN
NWL
AME
AN
GWW
DRI
BBT
PNW
PLL
EMN
LH
MOS
ACT
CPB
MUR
TROW
EA
BEN
HP
EXPD
COF
SHW
PCAR
TYC
SPG
MMM
MMC
AFL
GE
PFE
ECL
NFX
SNA
CTAS
IBM
PLD
GLW
AXP
TSN
SNDK
MAC
DO
OI
BAC
ABC
HIG
PRGO
HOG
NU
KSU
CL
L
WMT
LSI
PPL
WAT
CNP
NOC
PBI
PCP
SYMC
CAT
BA
IP
VZ
CSX
MWV
MHFI
PH
CTL
NSC
ADI
FISV
GHC
STZ
CMI
JPM
JEC
AMGN
COG
EMC
WHR
AMZN
ALXN
CAM
LOW
ED
AEP
BBY
FCX
SYY
CMS
PEG
XEL
KMX
FOX
CLF
HRL
MHK
LMT
F
HSY
LEG
IVZ
MCD
MS
X
AIG
RF
HCP
MYL
HD
GPS
DGX
RRC
EQT
NTAP
CSCO
DNR
NUE
STI
LUK
PNR
AZO
ROST
TIF
FE
PVH
HST
DTE
IGT
ESRX
YHOO
CI
ORCL
VRSN
EBAY
ETFC
BRCM
LUV
CMCSK
CHRW
YUM
PXD
SCG
BBBY
VTR
DD
HPQ
VAR
FTR
WM
PCG
RTN
DHI
TMK
IFF
CAH
PHM
NEE
RHT
AA
MSI
CTSH
CCI
NKE
AMT
AES
NOV
LIFE
ARG
GS
PKI
FLIR
ADSK
PWR
APH
APC
CNX
VRTX
GPC
M
ACE
SO
HAR
D
SRCL
PCLN
SIAL
ORLY
RL
JNPR
HES
AET
HCBK
BLL
UPS
NBR
UNM
MKC
WFC
VNO
SPLS
AKAM
WMB
SWK
CA
C
IRM
NBL
IPG
NVDA
KR
PCL
FRX
BLK
MDLZ
TXT
BCR
HAS
BTU
GAS
AEE
PBCT
LEN
BXP
WYNN
COH
RAI
A
SRE
AVB
MON
RSG
CME
GRMN
WFM
CTXS
HRS
MCO
EW
EIX
ALL
GME
EQR
JOY
LNC
KMB
KSS
ISRG
FLR
ACN
ATI
VMC
UNH
WY
MAR
DNB
CF
MCK
GNW
CMG
PRU
PX
MA
CINF
WIN
MAS
WYN
V
VIAB
PFG
CBS
NDAQ
USB
STJ
SJM
OKE
WU
ETR
CRM
KO
TEL
MDT
STX
EL
FSLR
MAT
HSP
REGN
DHR
SE
ICE
FIS
NFLX
LLL
FFIV
DVN
DIS
ZMH
DPS
LLTC
SNI
JCI
DVA
TDC
DLTR
JWN
KORS
CFN
ADS
NLSN
LO
XYL
COL
TWC
KRFT
FB
