boughtlist
A
AA
AAPL
ABC
ABT
ACE
ACN
ACT
ADBE
ADI
ADM
ADP
ADS
ADSK
AEE
AEP
AES
AET
AFL
AIG
AIV
ALL
ALTR
ALXN
AMAT
AME
AMGN
AMT
AMZN
AN
AON
APA
APC
APD
APH
ARG
ATI
AVB
AVP
AVY
AXP
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BCR
BDX
BEN
BHI
BIIB
BK
BLK
BLL
BMS
BMY
BRCM
BSX
BTU
BXP
CAG
CAM
CAT
CB
CCE
CCI
CELG
CERN
CF
CHK
CHRW
CI
CL
CLF
CLX
CMA
CMCSA
CMCSK
CME
CMG
CMI
CMS
CNP
CNX
COF
COG
COH
COL
COP
COST
CPB
CSC
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVC
CVS
CVX
D
DD
DE
DGX
DHI
DHR
DIS
DLTR
DNB
DNR
DO
DOV
DOW
DPS
DRI
DTE
DUK
DVN
EA
EBAY
ECL
ED
EFX
EIX
EMC
EMN
EMR
EOG
EQR
EQT
ESRX
ESV
ETFC
ETN
EW
EXC
EXPD
F
FAST
FB
FCX
FDO
FDX
FE
FFIV
FIS
FISV
FITB
FLIR
FLR
FLS
FMC
FOSL
FOX
FSLR
FTR
GAS
GCI
GD
GE
GHC
GILD
GIS
GLW
GME
GNW
GPC
GPS
GRMN
GS
GT
GWW
HAL
HAR
HAS
HBAN
HCBK
HCN
HD
HES
HIG
HOG
HON
HOT
HP
HPQ
HRB
HRL
HRS
HSP
HST
HSY
HUM
IBM
ICE
IFF
IGT
INTC
INTU
IP
IR
IRM
ISRG
ITW
IVZ
JBL
JEC
JNJ
JNPR
JOY
JPM
JWN
K
KEY
KIM
KLAC
KMX
KO
KORS
KRFT
KSU
L
LB
LEG
LEN
LH
LIFE
LLL
LLY
LM
LMT
LNC
LO
LOW
LRCX
LSI
LUK
LUV
MA
MAC
MAR
MCD
MCHP
MCK
MCO
MDLZ
MHFI
MHK
MKC
MMC
MMM
MNST
MO
MON
MOS
MRK
MRO
MS
MSFT
MSI
MTB
MU
MUR
MWV
MYL
NBR
NE
NEE
NEM
NFLX
NFX
NI
NKE
NLSN
NOC
NOV
NSC
NTAP
NTRS
NUE
NVDA
NWL
OI
OKE
OMC
ORCL
ORLY
OXY
PBCT
PBI
PCAR
PCG
PCL
PCLN
PCP
PDCO
PEG
PEP
PETM
PFE
PG
PGR
PH
PHM
PKI
PLD
PLL
PNC
PNR
PNW
POM
PPG
PPL
PRGO
PRU
PSA
PVH
PWR
PX
PXD
QCOM
R
RAI
RDC
REGN
RF
RHI
RHT
RIG
RL
ROK
ROP
RRC
RSG
RTN
SBUX
SCHW
SE
SEE
SHW
SIAL
SJM
SLB
SLM
SNA
SNDK
SO
SPG
SPLS
SRCL
SRE
STJ
STT
STZ
SWN
SYK
SYMC
SYY
T
TAP
TDC
TE
TEG
TGT
THC
TJX
TMK
TMO
TROW
TRV
TSN
TSO
TSS
TWC
TWX
TXN
TXT
TYC
UNH
UNM
UNP
UPS
URBN
UTX
V
VAR
VLO
VMC
VNO
VRSN
VRTX
VTR
VZ
WAT
WDC
WEC
WFC
WFM
WHR
WM
WMB
WMT
WU
WY
WYNN
X
XEL
XL
XLNX
XOM
XRX
XYL
YHOO
YUM
ZION
ZMH
